Transaction_ID,Date,Product_ID,Category,Quantity,Sale_Price,Payment_Method,Marketing_Channel
6390,01/01/2021,13,Home,3,80.17,Credit Card,Google Ad
5426,01/01/2021,3,Home,3,87.96,Bank Transfer,Instagram
1769,01/01/2021,6,Electronics,4,94.47,Paypal,Tik Tok
2184,01/01/2021,5,Accessories,4,65.05,Credit Card,Tik Tok
9666,01/02/2021,1,Electronics,3,55.18,Bank Transfer,Tik Tok
1189,01/03/2021,15,Accessories,3,53.31,Bank Transfer,Meta
4556,01/03/2021,3,Home,3,85.47,Credit Card,Google Ad
9792,01/03/2021,4,Toys,4,72.84,Paypal,Meta
3612,01/03/2021,10,Accessories,2,85.9,Klarna,Tik Tok
1775,01/04/2021,13,Home,3,91.84,Bank Transfer,Google Ad
8555,01/04/2021,8,Home,2,48.26,Paypal,Google Ad
8989,01/04/2021,4,Toys,5,97.26,Paypal,Tik Tok
5297,01/04/2021,2,Apparel,4,63.81,Bank Transfer,Tik Tok
7439,01/05/2021,14,Toys,5,44.98,Paypal,Online Media
5859,01/06/2021,9,Toys,4,58.84,Credit Card,Online Media
1064,01/06/2021,15,Accessories,1,98.82,Bank Transfer,Meta
6258,01/07/2021,8,Home,3,73.62,Klarna,Instagram
6892,01/07/2021,1,Electronics,2,42.26,Credit Card,Tik Tok
9392,01/07/2021,7,Apparel,4,39.78,Bank Transfer,Online Media
3731,01/07/2021,3,Home,3,60.51,Klarna,Online Media
2028,01/08/2021,1,Electronics,2,31.24,Paypal,Instagram
1206,01/08/2021,9,Toys,2,12.29,Credit Card,Instagram
1863,01/08/2021,15,Accessories,1,38.29,Bank Transfer,Tik Tok
7374,01/09/2021,7,Apparel,5,70.3,Credit Card,Tik Tok
4157,01/09/2021,13,Home,4,112.41,Credit Card,Meta
3693,01/09/2021,5,Accessories,4,98.8,Bank Transfer,Tik Tok
6450,01/09/2021,14,Toys,2,25.19,Credit Card,Meta
2306,01/09/2021,1,Electronics,1,100.35,Credit Card,Instagram
5413,01/10/2021,9,Toys,5,86.78,Paypal,Tik Tok
2998,01/10/2021,8,Home,3,46.91,Bank Transfer,Meta
6232,01/10/2021,4,Toys,1,39.42,Bank Transfer,Google Ad
2636,01/11/2021,1,Electronics,1,99.8,Klarna,Meta
5737,01/11/2021,2,Apparel,4,14.63,Credit Card,Meta
6249,01/11/2021,1,Electronics,5,54.05,Bank Transfer,Tik Tok
5218,01/12/2021,8,Home,1,75.54,Bank Transfer,Online Media
8777,01/12/2021,4,Toys,3,83.48,Bank Transfer,Meta
5282,01/12/2021,9,Toys,5,87.25,Bank Transfer,Instagram
2986,01/13/2021,3,Home,3,41.38,Klarna,Tik Tok
3976,01/13/2021,9,Toys,2,85.39,Klarna,Tik Tok
7616,01/13/2021,9,Toys,2,93.22,Paypal,Google Ad
1262,01/13/2021,3,Home,4,25.75,Bank Transfer,Meta
3049,01/14/2021,12,Apparel,1,18.38,Bank Transfer,Online Media
8158,01/14/2021,5,Accessories,1,35.1,Klarna,Instagram
7295,01/14/2021,4,Toys,1,67.78,Klarna,Meta
6539,01/14/2021,8,Home,4,62.26,Bank Transfer,Meta
3961,01/15/2021,9,Toys,2,53.71,Klarna,Online Media
9352,01/15/2021,9,Toys,4,31.35,Credit Card,Tik Tok
7015,01/15/2021,8,Home,3,69.19,Credit Card,Tik Tok
4446,01/16/2021,3,Home,5,64.57,Bank Transfer,Instagram
1225,01/16/2021,11,Electronics,5,66.28,Bank Transfer,Meta
8996,01/16/2021,5,Accessories,3,73.78,Bank Transfer,Meta
3205,01/17/2021,12,Apparel,5,42.19,Paypal,Instagram
2060,01/18/2021,9,Toys,5,48.54,Credit Card,Instagram
6088,01/18/2021,12,Apparel,4,36.5,Credit Card,Meta
9319,01/18/2021,3,Home,2,60.11,Klarna,Google Ad
2895,01/18/2021,3,Home,2,65.35,Paypal,Google Ad
2409,01/19/2021,10,Accessories,2,76.67,Credit Card,Meta
8343,01/19/2021,11,Electronics,5,36.69,Paypal,Instagram
9716,01/19/2021,2,Apparel,4,56.02,Credit Card,Tik Tok
3368,01/20/2021,4,Toys,4,89.8,Klarna,Tik Tok
6919,01/20/2021,2,Apparel,3,51.9,Klarna,Online Media
7457,01/20/2021,6,Electronics,2,12.75,Bank Transfer,Google Ad
4854,01/20/2021,6,Electronics,3,21.44,Credit Card,Online Media
4051,01/20/2021,12,Apparel,4,66.06,Bank Transfer,Online Media
5142,01/21/2021,14,Toys,3,67.37,Bank Transfer,Online Media
1635,01/21/2021,2,Apparel,2,39.07,Credit Card,Instagram
6177,01/21/2021,12,Apparel,2,12.28,Credit Card,Meta
2664,01/21/2021,12,Apparel,2,92.37,Klarna,Google Ad
8404,01/22/2021,8,Home,5,67.44,Credit Card,Online Media
9130,01/23/2021,7,Apparel,4,73.13,Klarna,Online Media
3744,01/23/2021,6,Electronics,5,24.54,Credit Card,Meta
7617,01/23/2021,14,Toys,5,63.13,Credit Card,Online Media
6881,01/23/2021,7,Apparel,2,114.51,Bank Transfer,Google Ad
8390,01/23/2021,4,Toys,2,79.59,Paypal,Meta
5611,01/24/2021,13,Home,2,14.86,Bank Transfer,Instagram
2687,01/24/2021,4,Toys,4,53.92,Bank Transfer,Meta
6052,01/24/2021,1,Electronics,3,100.63,Bank Transfer,Instagram
6536,01/24/2021,1,Electronics,2,34.32,Credit Card,Online Media
6726,01/24/2021,12,Apparel,2,16.21,Paypal,Instagram
9967,01/25/2021,10,Accessories,5,86.04,Paypal,Google Ad
4974,01/26/2021,9,Toys,4,72.36,Paypal,Online Media
1412,01/26/2021,11,Electronics,4,47.62,Credit Card,Meta
6988,01/26/2021,4,Toys,1,61.17,Klarna,Meta
6073,01/27/2021,4,Toys,1,79.88,Bank Transfer,Online Media
4440,01/27/2021,12,Apparel,5,76.59,Klarna,Meta
9787,01/27/2021,14,Toys,1,38.8,Klarna,Instagram
1395,01/28/2021,4,Toys,5,91.48,Bank Transfer,Meta
3782,01/29/2021,14,Toys,4,61.61,Klarna,Online Media
8266,01/29/2021,5,Accessories,4,39.58,Klarna,Online Media
4636,01/29/2021,4,Toys,1,20.21,Credit Card,Google Ad
7541,01/29/2021,10,Accessories,2,49.74,Klarna,Online Media
7801,01/30/2021,11,Electronics,4,86.31,Paypal,Tik Tok
2542,01/30/2021,1,Electronics,5,36.04,Credit Card,Google Ad
3681,01/30/2021,11,Electronics,2,20.79,Credit Card,Instagram
2365,01/31/2021,1,Electronics,4,37.56,Klarna,Meta
4141,01/31/2021,13,Home,4,21.02,Credit Card,Tik Tok
5186,01/31/2021,6,Electronics,2,109.89,Klarna,Instagram
5748,01/31/2021,13,Home,2,62.62,Paypal,Tik Tok
9647,01/31/2021,12,Apparel,5,100.86,Klarna,Meta
1504,02/01/2021,13,Home,4,35.71,Bank Transfer,Meta
1133,02/01/2021,6,Electronics,2,11.09,Bank Transfer,Online Media
5910,02/01/2021,13,Home,5,13.91,Credit Card,Instagram
7190,02/02/2021,5,Accessories,1,29.51,Klarna,Meta
9053,02/02/2021,5,Accessories,3,91.1,Credit Card,Instagram
2353,02/02/2021,12,Apparel,4,19.61,Credit Card,Google Ad
7819,02/02/2021,12,Apparel,2,44.94,Bank Transfer,Google Ad
5964,02/03/2021,12,Apparel,1,33.4,Klarna,Meta
7132,02/03/2021,9,Toys,4,64.25,Bank Transfer,Online Media
2581,02/03/2021,13,Home,3,84.03,Paypal,Instagram
2838,02/03/2021,5,Accessories,1,47.64,Bank Transfer,Google Ad
6124,02/04/2021,13,Home,1,79.98,Paypal,Meta
8449,02/04/2021,11,Electronics,1,97.29,Klarna,Meta
5000,02/04/2021,13,Home,2,13.31,Klarna,Meta
3000,02/05/2021,7,Apparel,5,99.97,Paypal,Instagram
8190,02/05/2021,5,Accessories,5,75.35,Paypal,Google Ad
8245,02/05/2021,3,Home,1,21.62,Klarna,Online Media
8939,02/05/2021,13,Home,1,70.45,Bank Transfer,Google Ad
